Date,Open,High,Low,Close,Adj Close,Volume
2016-10-17,67.459999,67.769997,66.250000,66.379997,65.092033,547700
2016-10-18,66.790001,67.180000,66.110001,66.209999,64.925331,394200
2016-10-19,66.160004,66.470001,65.849998,66.400002,65.111641,569600
2016-10-20,66.529999,66.580002,65.629997,65.730003,64.454659,557100
2016-10-21,65.410004,66.309998,65.220001,66.180000,64.895912,620300
2016-10-24,66.260002,66.769997,66.199997,66.300003,65.013588,499000
2016-10-25,66.400002,66.809998,66.059998,66.360001,65.072426,1008900
2016-10-26,65.220001,66.610001,64.279999,64.690002,63.434830,1275300
2016-10-27,64.550003,64.550003,63.320000,63.950001,62.709187,1153100
2016-10-28,64.040001,64.589996,63.720001,64.089996,62.846462,493900
2016-10-31,64.129997,64.269997,63.830002,63.970001,62.728794,677200
2016-11-01,63.799999,64.199997,63.299999,63.520000,62.287525,971600
2016-11-02,63.650002,64.050003,63.529999,63.759998,62.522869,699300
2016-11-03,63.799999,64.550003,63.799999,64.160004,62.915112,861700
2016-11-04,64.339996,65.419998,64.029999,64.680000,63.425022,1268500
2016-11-07,65.330002,65.570000,65.040001,65.459999,64.189880,684500
2016-11-08,65.440002,65.570000,64.190002,65.379997,64.111435,666500
2016-11-09,65.209999,67.139999,64.690002,66.930000,65.631355,1034000
2016-11-10,67.489998,68.290001,66.889999,67.099998,65.798065,1211200
2016-11-11,66.980003,67.320000,65.870003,66.440002,65.150871,889400
2016-11-14,66.620003,66.660004,64.570000,64.730003,63.474049,1413300
2016-11-15,64.820000,64.910004,63.599998,64.480003,63.228905,1164900
2016-11-16,64.419998,64.949997,64.150002,64.709999,63.454437,1256600
2016-11-17,64.690002,65.139999,64.570000,64.860001,63.601532,554600
2016-11-18,64.930000,65.940002,64.709999,65.849998,64.572319,957800
2016-11-21,66.110001,66.260002,65.650002,65.970001,64.689987,805100
2016-11-22,66.150002,66.209999,65.309998,65.580002,64.307564,620000
2016-11-23,65.570000,65.620003,64.790001,65.339996,64.072212,499000
2016-11-25,65.110001,65.690002,65.110001,65.690002,64.415428,217900
2016-11-28,65.540001,65.540001,64.470001,64.580002,63.326962,837000
2016-11-29,64.879997,65.470001,64.419998,64.970001,63.709393,1207600
2016-11-30,64.949997,65.059998,63.950001,64.089996,62.846462,1439800
2016-12-01,63.970001,64.320000,63.419998,63.549999,62.316944,1039100
2016-12-02,63.700001,64.500000,63.360001,63.880001,62.640541,951800
2016-12-05,64.669998,65.059998,64.309998,64.860001,63.601532,1188900
2016-12-06,65.139999,66.589996,64.750000,66.519997,65.229317,1559400
2016-12-07,66.820000,68.080002,66.459999,67.610001,66.298172,1481900
2016-12-08,67.870003,68.129997,67.190002,67.769997,66.455055,747000
2016-12-09,68.000000,68.680000,67.110001,68.620003,67.288574,953200
2016-12-12,68.230003,69.070000,68.160004,68.790001,67.455276,796000
2016-12-13,69.000000,69.730003,68.860001,69.260002,67.916161,1032400
2016-12-14,68.949997,69.250000,67.940002,68.260002,67.246254,1083200
2016-12-15,68.410004,68.900002,68.019997,68.610001,67.591057,731700
2016-12-16,68.589996,69.080002,67.830002,68.059998,67.049225,1274000
2016-12-19,67.919998,68.559998,67.370003,67.699997,66.694565,527900
2016-12-20,67.629997,68.110001,67.410004,68.010002,66.999969,604600
2016-12-21,68.250000,68.250000,67.430000,67.489998,66.487686,387400
2016-12-22,67.480003,67.500000,66.980003,67.209999,66.211845,365900
2016-12-23,67.129997,67.379997,66.930000,67.169998,66.172440,372100
2016-12-27,67.410004,67.570000,67.070000,67.529999,66.527092,261500
2016-12-28,67.580002,67.620003,67.150002,67.339996,66.339912,853200
2016-12-29,67.339996,67.470001,66.900002,67.010002,66.014816,483700
2016-12-30,67.300003,67.440002,66.970001,67.120003,66.123184,548700
